,name,state,year,count,committee,full_name,unique_committees_count
0,,North Carolina,2017,1,['Committee On Small Business'],Alma,1
1,a.m.,Arizona,2021,2,"['Committee On Oversight And Reform', 'Committee On Oversight And Reform']",Received It At 5:40 A.M.,2
2,abraham,Louisiana,2015,245,"['Committee On Agriculture', 'Committee On Disability Assistance And Memorial Affairs', 'Committee On Health', 'Committee On Science, Space, And Technology', ""Committee On Veterans' Affairs""]",Ralph Abraham,5
3,abraham,Louisiana,2017,162,"['Committee On Agriculture', 'Committee On Armed Services', 'Committee On Armed Services', 'Committee On Emerging Threats And Capabilities', 'Committee On Military Personnel', 'Committee On Research And Technology', 'Committee On Science, Space, And Technology', 'Committee On Seapower And Projection Forces', ""Committee On Veterans' Affairs""]",Ralph Lee Abraham,9
4,abraham,Louisiana,2019,95,"['Committee On Agriculture', 'Committee On Armed Services', 'Committee On Intelligence And Emerging Threats And Capabilities', 'Committee On Military Personnel']",Ralph Lee Abraham,4
5,abroad,California,2021,1,"['Committee On Science, Space, And Technology']",States And Abroad,1
6,act,Kentucky,2019,1,['Committee On Oversight And Reform'],Health Care Act,1
7,ada,Oklahoma,2019,2,"['Committee On Science, Space, And Technology']",['Ada' 'Moving To Ada'],1
8,adams,North Carolina,2015,201,"['Committee On Agriculture', 'Committee On Education And The Workforce', 'Committee On Higher Education And Workforce Training', 'Committee On Small Business', 'Committee On Workforce Protections']",Alma S. Adams,5
9,adams,North Carolina,2017,150,"['Committee On Agriculture', 'Committee On Education And The Workforce', 'Committee On Higher Education And Workforce Development', 'Committee On Small Business', 'Committee On Workforce Protections']",Alma S. Adams,5
10,adams,North Carolina,2019,235,"['Committee On Agriculture', 'Committee On Education And Labor', 'Committee On Financial Services', 'Committee On Higher Education And Workforce Investment', 'Committee On Workforce Protections']",Alma S. Adams,5
11,adams,North Carolina,2021,188,"['Committee On Agriculture', 'Committee On Civil Rights And Human Services', 'Committee On Education And Labor', 'Committee On Financial Services', 'Committee On Workforce Protections']",Alma S. Adams,5
12,additionally,Iowa,2021,1,"['Committee On Science, Space, And Technology']",And State Public Funding. Additionally,1
13,additionally,Oklahoma,2019,2,"['Committee On Science, Space, And Technology', 'Committee On Science, Space, And Technology']",Additionally,2
14,ago,Colorado,2021,1,['Committee On Oversight And Reform'],When We Opened 20 Years Ago,1
15,ago,Oklahoma,2019,1,['Committee On Oversight And Reform'],States--When I Was In Oklahoma A Few Weeks Ago,1
16,aguilar,California,2015,139,"['Committee On Agriculture', 'Committee On Armed Services', 'Committee On Emerging Threats And Capabilities', 'Committee On Strategic Forces']",Pete Aguilar,4
17,aguilar,California,2017,2,['Committee On Armed Services'],Pete Aguilar,1
18,aguilar,California,2019,9,"['Committee On House Administration', 'Committee On House Adminstration']",Pete Aguilar,2
19,aguilar,California,2021,24,"['Committee On Elections', 'Committee On House Administration']",Pete Aguilar,2
20,alabama,Arizona,2019,1,['Committee On Oversight And Reform'],With Particularly Hard-To-Count Populations: Alabama,1
21,alabama,Minnesota,2019,1,['Committee On Oversight And Reform'],Alabama,1
22,allen,Georgia,2015,129,"['Committee On Agriculture', 'Committee On Education And The Workforce', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Higher Education And Workforce Training']",Rick Allen,4
23,allen,Georgia,2017,68,"['Committee On Agriculture', 'Committee On Education And The Workforce', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Higher Education And Workforce Development']",Rick W. Allen,4
24,allen,Georgia,2019,115,"['Committee On Agriculture', 'Committee On Education And Labor', 'Committee On Health, Employment, Labor, And Pensions']",Rick W. Allen,3
25,allen,Georgia,2021,78,"['Committee On Agriculture', 'Committee On Early Childhood, Elementary, And Secondary Education', 'Committee On Education And Labor', 'Committee On Health, Employment, Labor, And Pensions']",Rick W. Allen,4
26,allred,Texas,2019,243,"['Committee On Disability Assistance And Memorial Affairs', 'Committee On Foreign Affairs', 'Committee On The Middle East, North Africa, And International', 'Committee On Transportation And Infrastructure', ""Committee On Veterans' Affairs"", 'Committee On Foreign Affairs', 'Committee On Foreign Affairs']",Colin Allred,7
27,allred,Texas,2021,109,"['Committee On Foreign Affairs', 'Committee On Transportation And Infrastructure', 'Committee On Foreign Affairs', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Infrastructure']",Colin Z. Allred,6
28,also,Arizona,2021,1,['Committee On Oversight And Reform'],Century. Alaska And Hawaii Came In As A Pair. Also,1
29,amash,Michigan,2013,161,['Committee On Oversight And Government Reform'],Justin Amash,1
30,amash,Michigan,2015,177,['Committee On Oversight And Government Reform'],Justin Amash,1
31,amash,Michigan,2017,8,"['Committee On Information Technology', 'Committee On Oversight And Government Reform']",Justin Amash,2
32,amash,Michigan,2019,43,['Committee On Oversight And Reform'],Justin Amash,1
33,amodei,Nevada,2013,128,"['Committee On Disability Assistance And Memorial Affairs', 'Committee On The Judiciary', ""Committee On Veterans' Affairs""]",Mark Amodei,3
34,andrews,New Jersey,2013,93,"['Committee On Armed Services', 'Committee On Education And The Workforce', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Oversight And Investigations', 'Committee On Workforce Protections']",Robert E. Andrews,5
35,angeles,California,2021,1,['Committee On Oversight And Reform'],Medical Center In Los Angeles,1
36,arizona,Georgia,2021,1,['Committee On Constitutional'],Pence To Reject Electoral College Votes From Arizona,1
37,arizona,New Mexico,2021,1,"['Committee On Science, Space, And Technology']",Announced Expansions In Arizona,1
38,armstrong,North Dakota,2019,279,"['Committee On Antitrust, Commercial', 'Committee On Antitrust, Commercial And', 'Committee On Antitrust, Commercial And', 'Committee On Antitrust, Commercial And Administrative Law', 'Committee On Immigration And Citizenship', 'Committee On Judiciary', 'Committee On Oversight And Reform', 'Committee On The Climate Crisis', 'Committee On The Consititution, Civil Rights,', 'Committee On The Constitution, Civil Rights,', 'Committee On The Constitution, Civil Rights, And Civil Liberties', 'Committee On The Judiciary']",Kelly Armstrong,12
39,armstrong,North Dakota,2021,46,"['Committee On Energy And Commerce', 'Committee On The Climate Crisis', 'Committee On The Climate Crisis']",Kelly Armstrong,3
40,arrington,Texas,2017,141,"['Committee On Agriculture', 'Committee On Economic Opportunity', 'Committee On Oversight And Investigations', 'Committee On The Budget', ""Committee On Veterans' Affairs""]",Jodey Arrington,5
41,arrington,Texas,2019,12,"['Committee On Select Revenue Measures', 'Committee On Social Security', 'Committee On Ways And Means']",Jodey Arrington,3
42,arthur,Texas,2019,5,"['Committee On Science, Space, And Technology', 'Committee On Science, Space, And Technology']","['Leaving 80 Percent Of The Port Arthur' 'Located Here In Port Arthur'
 'Saying. Here In Port Arthur' 'Texas. In Port Arthur']",2
43,arthur,Texas,2021,1,"['Committee On Science, Space, And Technology']",Arthur,1
44,ashford,Nebraska,2015,139,"['Committee On Agriculture', 'Committee On Armed Services', 'Committee On Emerging Threats And Capabilities', 'Committee On Strategic Forces']",Brad Ashford,4
45,auchincloss,Massachusetts,2021,163,"['Committee On Financial Services', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Infrastructure']",Jake Auchincloss,5
46,austin,Texas,2021,2,"['Committee On Constitutional', 'Committee On Science, Space, And Technology']",Should Be In Austin,2
47,axne,Iowa,2019,150,"['Committee On Agriculture', 'Committee On Financial Services']",Cynthia Axne,2
48,axne,Iowa,2021,143,"['Committee On Agriculture', 'Committee On Financial Services']",Cynthia Axne,2
49,babin,Texas,2015,142,"['Committee On Science, Space, And Technology', 'Committee On Transportation And Infrastructure']",Brian Babin,2
50,babin,Texas,2017,132,"['Committee On Science, Space, And Technology', 'Committee On Transportation And Infrastructure']",Brian Babin,2
51,babin,Texas,2019,148,"['Committee On Science, Space, And Technology', 'Committee On Transportation And Infrastructure']",Brian Babin,2
52,babin,Texas,2021,110,"['Committee On Science, Space, And Technology', 'Committee On Transportation And Infrastructure']",Brian Babin,2
53,bachmann,Minnesota,2013,100,['Committee On Financial Services'],Michele Bachmann,1
54,bachus,Alabama,2013,233,"['Committee On Financial Services', 'Committee On The Judiciary']",Spencer Bachus,2
55,bacon,Nebraska,2017,169,"['Committee On Agriculture', 'Committee On Armed Services', 'Committee On Armed Services', 'Committee On Border And Maritime Security', 'Committee On Cybersecurity And Infrastructure Protection', 'Committee On Homeland Security', 'Committee On Military Personnel', 'Committee On Small Business', 'Committee On Tactical Air And Land Forces']",Don Bacon,9
56,bacon,Nebraska,2019,86,"['Committee On Agriculture', 'Committee On Armed Services', 'Committee On Intelligence And Emerging Threats And Capabilities', 'Committee On Tactical Air And Land Forces']",Don Bacon,4
57,bacon,Nebraska,2021,64,"['Committee On Agriculture', 'Committee On Armed Services', 'Committee On Intelligence And Special Operations', 'Committee On Tactical Air And Land Forces']",Don Bacon,4
58,baird,Indiana,2019,120,"['Committee On Agriculture', 'Committee On Science, Space, And Technology']",Jim Baird,2
59,baird,Indiana,2021,95,"['Committee On Agriculture', 'Committee On Science, Space, And Technology']",James R. Baird,2
60,balderson,Ohio,2017,2,"['Committee On Science, Space, And Technology']",Troy Balderson,1
61,balderson,Ohio,2019,247,"['Committee On Agriculture', 'Committee On Science, Space, And Technology', 'Committee On Small Business', 'Committee On Transportation And Infrastructure']",Troy Balderson,4
62,balderson,Ohio,2021,93,"['Committee On Agriculture', 'Committee On Transportation And Infrastructure']",Troy Balderson,2
63,banks,Indiana,2017,240,"['Committee On Armed Services', 'Committee On Armed Services', 'Committee On Disability Assistance And Memorial Affairs', 'Committee On Economic Opportunity', 'Committee On Education And The Workforce', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Oversight And Investigations', 'Committee On Research And Technology', 'Committee On Science, Space, And Technology', 'Committee On Tactical Air And Land Forces', 'Committee On Technology Modernization', ""Committee On Veterans' Affairs""]",Jim Banks,12
64,banks,Indiana,2019,210,"['Committee On Armed Services', 'Committee On Economic Opportunity', 'Committee On Education And Labor', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Higher Education And Workforce Investment', 'Committee On Intelligence And Emerging Threats And Capabilities', 'Committee On Tactical Air And Land Forces', 'Committee On Technology Modernization', ""Committee On Veterans' Affairs""]",Jim Banks,9
65,banks,Indiana,2021,68,"['Committee On Armed Services', 'Committee On Cyber, Innovative Technologies, And Information Systems', 'Committee On Education And Labor', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Higher Education And Workforce Investment', 'Committee On Military Personnel', 'Committee On Seapower And Projection Forces']",Jim Banks,7
66,barber,Arizona,2013,253,"['Committee On Armed Services', 'Committee On Homeland Security', 'Committee On Oversight And Management Efficiency', 'Committee On Readiness', 'Committee On Small Business', 'Committee On Tactical Air And Land Forces']",Ron Barber,6
67,barletta,Pennsylvania,2013,297,"['Committee On Border And Maritime Security', 'Committee On Education And The Workforce', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Higher Education And Workforce Training', 'Committee On Homeland Security', 'Committee On Oversight And Management Efficiency', 'Committee On Transportation And Infrastructure', 'Committee On Transportation Security']",Lou Barletta,8
68,barletta,Pennsylvania,2015,221,"['Committee On Border And Maritime Security', 'Committee On Counterterrorism And Intelligence', 'Committee On Education And The Workforce', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Higher Education And Workforce Training', 'Committee On Homeland Security', 'Committee On Transportation And Infrastructure']",Lou Barletta,7
69,barletta,Pennsylvania,2017,206,"['Committee On Border And Maritime Security', 'Committee On Counterterrorism And Intelligence', 'Committee On Education And The Workforce', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Higher Education And Workforce Development', 'Committee On Homeland Security', 'Committee On Transportation And Infrastructure']",Lou Barletta,7
70,barr,Kentucky,2013,100,['Committee On Financial Services'],Andy Barr,1
71,barr,Kentucky,2015,123,['Committee On Financial Services'],Andy Barr,1
72,barr,Kentucky,2017,120,"['Committee On Financial Services', 'Committee On Financial Services']",Andy Barr,2
73,barr,Kentucky,2019,183,"['Committee On Economic Opportunity', 'Committee On Financial Services', 'Committee On Health', ""Committee On Veterans' Affairs""]",Andy Barr,4
