,transaction_date,disclosure_date,owner,ticker,asset_description,asset_type,type,amount,comment,ptr_link,party,state,industry,sector,sen/rep,dataFound,name,dates_diff,dateMS,percentVsSnP,amountL,amountM,amountH,snp500
56,2022-12-28,2023-01-13,Self,RNWK,"RealNetworks, Inc. - Common Stock",Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/5d41d5a8-eb5b-4092-aae1-99a26f4932f2/,Democrat,WA,Computer Software: Prepackaged Software,Technology,sen,0,Maria Cantwell,16,1672185600.0,0,15001,32500.5,50000,1
57,2022-12-23,2023-01-13,Joint,GOLD,Barrick Gold Corporation Common Stock (BC),Stock,Purchase,"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Precious Metals,Basic Industries,sen,0,Tommy Tuberville,21,1671753600.0,0,15001,32500.5,50000,1
58,2022-12-19,2023-01-13,Joint,NU,Nu Holdings Ltd. Class A Ordinary Shares,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Finance: Consumer Services,Finance,sen,0,Tommy Tuberville,25,1671408000.0,0,1001,8000.5,15000,1
59,2022-12-15,2023-01-13,Joint,DIS,Walt Disney Company (The) Common Stock,Stock,Sale (Partial),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Services-Misc. Amusement & Recreation,Consumer Services,sen,0,Tommy Tuberville,29,1671062400.0,0,15001,32500.5,50000,1
60,2022-12-09,2023-01-13,Joint,PG,"Procter &amp; Gamble Company (The) Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $150.00 <br> <em>Expires:</em> 07/21/2023 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Package Goods/Cosmetics,Basic Industries,sen,0,Tommy Tuberville,35,1670544000.0,0,1001,8000.5,15000,1
61,2022-12-09,2023-01-13,Joint,KMB,"Kimberly-Clark Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $135.00 <br> <em>Expires:</em> 04/21/2023 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Containers/Packaging,Consumer Durables,sen,0,Tommy Tuberville,35,1670544000.0,0,1001,8000.5,15000,1
62,2022-12-09,2023-01-13,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $100.00 <br> <em>Expires:</em> 01/19/2024 </div>",Stock Option,Sale (Full),"$100,001 - $250,000",--,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Business Services,Miscellaneous,sen,0,Tommy Tuberville,35,1670544000.0,0,100001,175000.5,250000,1
63,2022-12-09,2023-01-13,Joint,PG,"Procter &amp; Gamble Company (The) Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $145.00 <br> <em>Expires:</em> 06/16/2023 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Package Goods/Cosmetics,Basic Industries,sen,0,Tommy Tuberville,35,1670544000.0,0,1001,8000.5,15000,1
64,2022-12-09,2023-01-13,Joint,CLX,"Clorox Company (The) Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $140.00 <br> <em>Expires:</em> 05/19/2023 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Specialty Chemicals,Consumer Durables,sen,0,Tommy Tuberville,35,1670544000.0,0,1001,8000.5,15000,1
65,2022-12-09,2023-01-13,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Sale (Partial),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Business Services,Miscellaneous,sen,0,Tommy Tuberville,35,1670544000.0,0,1001,8000.5,15000,1
66,2022-12-09,2023-01-13,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Sale (Partial),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Business Services,Miscellaneous,sen,0,Tommy Tuberville,35,1670544000.0,0,1001,8000.5,15000,1
67,2022-12-09,2023-01-13,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Sale (Partial),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Business Services,Miscellaneous,sen,0,Tommy Tuberville,35,1670544000.0,0,1001,8000.5,15000,1
68,2022-12-09,2023-01-13,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Sale (Partial),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Business Services,Miscellaneous,sen,0,Tommy Tuberville,35,1670544000.0,0,15001,32500.5,50000,1
