symbol,sector,industry,committee,empty
GOLD,Basic Materials,Gold,['naturalresources'],[]
NU,Financial Services,Banks—Diversified,"['banking', 'finance']",[]
DIS,Communication Services,Entertainment,[],[]
PG,Consumer Defensive,Household & Personal Products,[],[]
KMB,Consumer Defensive,Household & Personal Products,[],[]
PYPL,Financial Services,Credit Services,['finance'],[]
CLX,Consumer Defensive,Household & Personal Products,[],[]
QCOM,Technology,Semiconductors,['science'],[]
C,Financial Services,Banks—Diversified,"['banking', 'finance']",[]
FWONK,Communication Services,Entertainment,[],[]
LSXMK,Communication Services,Broadcasting,[],[]
LBRDK,Communication Services,Telecom Services,[],[]
SYK,Healthcare,Medical Devices,['health'],[]
META,Communication Services,Internet Content & Information,[],[]
MDT,Healthcare,Medical Devices,['health'],[]
MLM,Basic Materials,Building Materials,['naturalresources'],[]
FFIV,Technology,Software—Infrastructure,['science'],[]
ELAN,Healthcare,Drug Manufacturers—Specialty & Generic,['health'],[]
CMCSA,Communication Services,Telecom Services,[],[]
BAX,Healthcare,Medical Instruments & Supplies,['health'],[]
GOOG,Communication Services,Internet Content & Information,[],[]
ADBE,Technology,Software—Infrastructure,['science'],[]
RPM,Basic Materials,Specialty Chemicals,['naturalresources'],[]
NVDA,Technology,Semiconductors,['science'],[]
MSFT,Technology,Software—Infrastructure,['science'],[]
AAPL,Technology,Consumer Electronics,['science'],[]
AMZN,Consumer Cyclical,Internet Retail,['commerce'],[]
ZTS,Healthcare,Drug Manufacturers—Specialty & Generic,['health'],[]
TJX,Consumer Cyclical,Apparel Retail,['commerce'],[]
TMO,Healthcare,Diagnostics & Research,['health'],[]
LRCX,Technology,Semiconductor Equipment & Materials,['science'],[]
TSM,Technology,Semiconductors,['science'],[]
INTC,Technology,Semiconductors,['science'],[]
F,Consumer Cyclical,Auto Manufacturers,"['commerce', 'transportation']",[]
ATVI,Communication Services,Electronic Gaming & Multimedia,[],[]
CLF,Basic Materials,Steel,['naturalresources'],[]
X,Basic Materials,Steel,['naturalresources'],[]
WIW,Financial Services,Asset Management,['finance'],[]
GBIL,,,[],[]
LUBYX,,,[],[]
BATRK,Communication Services,Entertainment,[],[]
LBRDA,Communication Services,Telecom Services,[],[]
BATRA,Communication Services,Entertainment,[],[]
XOM,Energy,Oil & Gas Integrated,"['energy', 'naturalresources']",[]
CVX,Energy,Oil & Gas Integrated,"['energy', 'naturalresources']",[]
VCTR,Financial Services,Asset Management,['finance'],[]
VRTX,Healthcare,Biotechnology,['health'],[]
TREX,Industrials,Building Products & Equipment,[],[]
SCI,Consumer Cyclical,Personal Services,['commerce'],[]
RELX,Industrials,Specialty Business Services,[],[]
RH,Consumer Cyclical,Specialty Retail,['commerce'],[]
PHM,Consumer Cyclical,Residential Construction,['commerce'],[]
PAYC,Technology,Software—Application,['science'],[]
GIS,Consumer Defensive,Packaged Foods,['nutrition'],[]
